x_val,y_val,z_val,x_int,y_int,z_int,x_held,y_held,step_counter,cum_int,cum_total_score,cum_trial_score,reward,trial_count,graph,cb_group,has_focus
0,0,0,0,0,0,0,0,0,0,10,0,false,0,5,"A",1
-2,-7,4,0,0,0,0,0,1,0,10,0,false,0,5,"A",1
3,6,12,0,0,0,0,0,2,0,10,0,false,0,5,"A",1
12,-5,-6,0,0,0,0,0,3,0,10,0,false,0,5,"A",1
75,1,-3,1,0,0,0,0,4,1,9,0,false,0,5,"A",1
16,-1,-67,0,0,0,0,0,5,1,9,0,false,0,5,"A",1
-52,2,-24,0,0,0,0,0,6,1,9,0,false,0,5,"A",1
-34,0,31,0,0,0,0,0,7,1,9,0,false,0,5,"A",1
14,75,31,0,1,0,0,0,8,2,8,0,false,0,5,"A",1
34,14,-65,0,0,0,0,0,9,2,8,0,false,0,5,"A",1
-50,3,-50,0,0,0,0,0,10,2,8,0,false,0,5,"A",1
-46,-1,27,0,0,0,0,0,11,2,8,0,false,0,5,"A",1
-50,0,46,1,0,0,0,0,12,3,12,5,true,0,5,"A",1
-50,-2,50,1,0,0,0,0,13,4,16,10,true,0,5,"A",1
-50,7,48,1,0,0,0,0,14,5,20,15,true,0,5,"A",1
-50,3,46,1,0,0,0,0,15,6,24,20,true,0,5,"A",1
0,0,0,0,0,0,0,0,0,0,24,0,false,1,4,"A",1
7,4,-1,0,0,0,0,0,1,0,24,0,false,1,4,"A",1
-6,1,-6,0,0,0,0,0,2,0,24,0,false,1,4,"A",1
-6,-1,-1,0,0,0,0,0,3,0,24,0,false,1,4,"A",1
75,-6,2,1,0,0,0,0,4,1,23,0,false,1,4,"A",1
27,-2,-62,0,0,0,0,0,5,1,23,0,false,1,4,"A",1
-39,-1,-37,0,0,0,0,0,6,1,23,0,false,1,4,"A",1
-37,-5,24,0,0,0,0,0,7,1,23,0,false,1,4,"A",1
13,75,35,0,1,0,0,0,8,2,22,0,false,1,4,"A",1
-27,15,-2,0,0,0,0,0,9,2,22,0,false,1,4,"A",1
-28,4,19,0,0,0,0,0,10,2,22,0,false,1,4,"A",1
7,3,31,0,0,0,0,0,11,2,22,0,false,1,4,"A",1
-50,3,3,1,0,0,0,0,12,3,21,0,false,1,4,"A",1
-50,-2,41,1,0,0,0,0,13,4,25,5,true,1,4,"A",1
-50,-1,51,1,0,0,0,0,14,5,29,10,true,1,4,"A",1
-50,-6,48,1,0,0,0,0,15,6,33,15,true,1,4,"A",1
0,0,0,0,0,0,0,0,0,0,33,0,false,2,2,"A",1
-1,-4,0,0,0,0,0,0,1,0,33,0,false,2,2,"A",1
6,1,3,0,0,0,0,0,2,0,33,0,false,2,2,"A",1
2,-5,-3,0,0,0,0,0,3,0,33,0,false,2,2,"A",1
75,-3,-7,1,0,0,0,0,4,1,32,0,false,2,2,"A",1
16,-1,-61,0,0,0,0,0,5,1,32,0,false,2,2,"A",1
4,-4,-18,0,0,0,0,0,6,1,32,0,false,2,2,"A",1
-1,0,-6,0,0,0,0,0,7,1,32,0,false,2,2,"A",1
3,75,1,0,1,0,0,0,8,2,31,0,false,2,2,"A",1
-51,11,-2,0,0,0,0,0,9,2,31,0,false,2,2,"A",1
-18,5,44,0,0,0,0,0,10,2,36,5,true,2,2,"A",1
-6,1,17,0,0,0,0,0,11,2,36,5,false,2,2,"A",1
-50,-6,12,1,0,0,0,0,12,3,35,5,false,2,2,"A",1
-50,2,42,1,0,0,0,0,13,4,39,10,true,2,2,"A",1
-50,0,51,1,0,0,0,0,14,5,43,15,true,2,2,"A",1
-50,-6,51,1,0,0,0,0,15,6,47,20,true,2,2,"A",1
0,0,0,0,0,0,0,0,0,0,10,0,false,3,1,"A",1
0,-6,-3,0,0,0,0,0,1,0,10,0,false,3,1,"A",1
3,-4,-9,0,0,0,0,0,2,0,10,0,false,3,1,"A",1
-1,0,-8,0,0,0,0,0,3,0,10,0,false,3,1,"A",1
75,3,-3,1,0,0,0,0,4,1,9,0,false,3,1,"A",1
10,-58,-54,0,0,0,0,0,5,1,9,0,false,3,1,"A",1
3,-21,-64,0,0,0,0,0,6,1,9,0,false,3,1,"A",1
-2,-5,-34,0,0,0,0,0,7,1,9,0,false,3,1,"A",1
2,75,-8,0,1,0,0,0,8,2,8,0,false,3,1,"A",1
-4,10,55,0,0,0,0,0,9,2,13,5,true,3,1,"A",1
9,9,27,0,0,0,0,0,10,2,13,5,false,3,1,"A",1
-5,-9,8,0,0,0,0,0,11,2,13,5,false,3,1,"A",1
-50,3,-6,1,0,0,0,0,12,3,12,5,false,3,1,"A",1
-50,38,41,1,0,0,0,0,13,4,16,10,true,3,1,"A",1
-50,51,77,1,0,0,0,0,14,5,15,10,false,3,1,"A",1
-50,51,99,1,0,0,0,0,15,6,14,10,false,3,1,"A",1
0,0,0,0,0,0,0,0,0,0,14,0,false,4,6,"A",1
-3,3,2,0,0,0,0,0,1,0,14,0,false,4,6,"A",1
-4,-1,3,0,0,0,0,0,2,0,14,0,false,4,6,"A",1
2,-4,0,0,0,0,0,0,3,0,14,0,false,4,6,"A",1
75,-3,1,1,0,0,0,0,4,1,13,0,false,4,6,"A",1
11,5,-54,0,0,0,0,0,5,1,13,0,false,4,6,"A",1
34,8,-22,0,0,0,0,0,6,1,13,0,false,4,6,"A",1
21,3,-32,0,0,0,0,0,7,1,13,0,false,4,6,"A",1
31,75,-22,0,1,0,0,0,8,2,12,0,false,4,6,"A",1
-34,5,-85,0,0,0,0,0,9,2,12,0,false,4,6,"A",1
59,1,4,0,0,0,0,0,10,2,12,0,false,4,6,"A",1
7,1,-47,0,0,0,0,0,11,2,12,0,false,4,6,"A",1
-50,-5,-19,1,0,0,0,0,12,3,11,0,false,4,6,"A",1
-50,-4,38,1,0,0,0,0,13,4,10,0,false,4,6,"A",1
-50,-4,55,1,0,0,0,0,14,5,14,5,true,4,6,"A",1
-50,0,57,1,0,0,0,0,15,6,18,10,true,4,6,"A",1
0,0,0,0,0,0,0,0,0,0,18,0,false,5,3,"A",1
-4,1,-3,0,0,0,0,0,1,0,18,0,false,5,3,"A",1
0,-2,-8,0,0,0,0,0,2,0,18,0,false,5,3,"A",1
4,-6,1,0,0,0,0,0,3,0,18,0,false,5,3,"A",1
75,1,0,1,0,0,0,0,4,1,17,0,false,5,3,"A",1
