x_val,y_val,z_val,x_int,y_int,z_int,x_held,y_held,step_counter,cum_int,cum_total_score,cum_trial_score,reward,trial_count,graph,cb_group,has_focus
0,0,0,0,0,0,0,0,0,0,10,0,false,0,2,"A",1
-18,14,0,0,0,0,0,0,1,0,10,0,false,0,2,"A",1
6,31,-26,0,0,0,0,0,2,0,10,0,false,0,2,"A",1
-17,15,36,0,0,0,0,0,3,0,10,0,false,0,2,"A",1
0,21,-1,0,0,0,0,0,4,0,10,0,false,0,2,"A",1
75,20,-2,1,0,0,0,0,5,1,9,0,false,0,2,"A",1
24,-8,-4,0,0,0,0,0,6,1,9,0,false,0,2,"A",1
-26,22,15,0,0,0,0,0,7,1,9,0,false,0,2,"A",1
-53,18,-12,0,0,0,0,0,8,1,9,0,false,0,2,"A",1
-16,17,-3,0,0,0,0,0,9,1,9,0,false,0,2,"A",1
-75,17,-1,1,0,0,0,0,10,2,8,0,false,0,2,"A",1
-45,9,12,0,0,0,0,0,11,2,8,0,false,0,2,"A",1
-9,13,3,0,0,0,0,0,12,2,8,0,false,0,2,"A",1
-23,-8,10,0,0,0,0,0,13,2,8,0,false,0,2,"A",1
27,-14,-12,0,0,0,0,0,14,2,8,0,false,0,2,"A",1
6,75,-9,0,1,0,0,0,15,3,7,0,false,0,2,"A",1
-3,15,21,0,0,0,0,0,16,3,7,0,false,0,2,"A",1
-34,27,-4,0,0,0,0,0,17,3,7,0,false,0,2,"A",1
-22,8,-5,0,0,0,0,0,18,3,7,0,false,0,2,"A",1
-17,-4,22,0,0,0,0,0,19,3,7,0,false,0,2,"A",1
-10,-75,17,0,1,0,0,0,20,4,6,0,false,0,2,"A",1
59,3,-8,0,0,0,0,0,21,4,6,0,false,0,2,"A",1
-11,-15,11,0,0,0,0,0,22,4,6,0,false,0,2,"A",1
15,-27,20,0,0,0,0,0,23,4,6,0,false,0,2,"A",1
-13,33,-8,0,0,0,0,0,24,4,6,0,false,0,2,"A",1
-50,-2,-9,1,0,0,0,0,25,5,5,0,false,0,2,"A",1
-50,16,17,1,0,0,0,0,26,6,4,0,false,0,2,"A",1
-50,-19,14,1,0,0,0,0,27,7,3,0,false,0,2,"A",1
-50,-12,23,1,0,0,0,0,28,8,2,0,false,0,2,"A",1
8,-6,27,0,0,0,0,0,29,8,2,0,false,0,2,"A",1
15,-16,-3,0,0,0,0,0,30,8,2,0,false,0,2,"A",1
0,0,0,0,0,0,0,0,0,0,2,0,false,1,6,"A",1
-5,26,9,0,0,0,0,0,1,0,2,0,false,1,6,"A",1
